rep_id;prop_biased;learners;bias_strength;size_net;init_langval;influencers_biased;network;stab_control;stab_biased;stab_biased_precise;stab_control_precise
4701;10;SAM;0.1;500;4;10;Scale-free;80;257;3622;632
4702;10;SAM;0.1;500;4;10;Scale-free;78;612;3236;745
4703;10;SAM;0.1;500;4;10;Scale-free;194;495;2878;1147
4704;10;SAM;0.1;500;4;10;Scale-free;108;607;3184;431
4705;10;SAM;0.1;500;4;10;Scale-free;127;216;2581;1048
4706;10;SAM;0.1;500;4;10;Scale-free;132;172;2357;621
4707;10;SAM;0.1;500;4;10;Scale-free;185;144;3722;626
4708;10;SAM;0.1;500;4;10;Scale-free;196;341;3259;726
4709;10;SAM;0.1;500;4;10;Scale-free;107;477;1726;627
4710;10;SAM;0.1;500;4;10;Scale-free;61;498;2371;566
4711;10;SAM;0.1;500;4;10;Scale-free;179;150;3098;689
4712;10;SAM;0.1;500;4;10;Scale-free;51;332;3998;727
4713;10;SAM;0.1;500;4;10;Scale-free;133;153;2897;422
4714;10;SAM;0.1;500;4;10;Scale-free;146;224;1772;436
4715;10;SAM;0.1;500;4;10;Scale-free;190;208;2335;643
4716;10;SAM;0.1;500;4;10;Scale-free;159;289;2833;643
4717;10;SAM;0.1;500;4;10;Scale-free;75;413;3315;871
4718;10;SAM;0.1;500;4;10;Scale-free;119;522;2216;994
4719;10;SAM;0.1;500;4;10;Scale-free;194;167;3114;999
4720;10;SAM;0.1;500;4;10;Scale-free;164;273;4306;751
4721;10;SAM;0.1;500;4;10;Scale-free;151;344;1624;691
4722;10;SAM;0.1;500;4;10;Scale-free;149;329;2890;541
4723;10;SAM;0.1;500;4;10;Scale-free;133;288;1767;580
4724;10;SAM;0.1;500;4;10;Scale-free;67;73;2670;696
4725;10;SAM;0.1;500;4;10;Scale-free;152;409;2710;854
4726;10;SAM;0.1;500;4;10;Scale-free;146;562;3732;530
4727;10;SAM;0.1;500;4;10;Scale-free;178;208;2560;1071
4728;10;SAM;0.1;500;4;10;Scale-free;79;187;1934;519
4729;10;SAM;0.1;500;4;10;Scale-free;201;422;2226;730
4730;10;SAM;0.1;500;4;10;Scale-free;98;561;3826;527
4731;10;SAM;0.1;500;4;10;Scale-free;74;542;3281;764
4732;10;SAM;0.1;500;4;10;Scale-free;53;537;3435;521
4733;10;SAM;0.1;500;4;10;Scale-free;157;426;3265;692
4734;10;SAM;0.1;500;4;10;Scale-free;97;370;3176;890
4735;10;SAM;0.1;500;4;10;Scale-free;148;241;1825;559
4736;10;SAM;0.1;500;4;10;Scale-free;146;447;1665;649
4737;10;SAM;0.1;500;4;10;Scale-free;188;354;1711;607
4738;10;SAM;0.1;500;4;10;Scale-free;141;66;2476;676
4739;10;SAM;0.1;500;4;10;Scale-free;83;500;3483;1188
4740;10;SAM;0.1;500;4;10;Scale-free;170;586;3736;610
4741;10;SAM;0.1;500;4;10;Scale-free;191;262;2483;412
4742;10;SAM;0.1;500;4;10;Scale-free;82;553;3138;636
4743;10;SAM;0.1;500;4;10;Scale-free;179;164;2082;818
4744;10;SAM;0.1;500;4;10;Scale-free;122;287;2920;817
4745;10;SAM;0.1;500;4;10;Scale-free;154;73;1592;696
4746;10;SAM;0.1;500;4;10;Scale-free;145;547;2277;493
4747;10;SAM;0.1;500;4;10;Scale-free;101;330;3134;782
4748;10;SAM;0.1;500;4;10;Scale-free;238;171;3167;898
4749;10;SAM;0.1;500;4;10;Scale-free;101;402;2434;748
4750;10;SAM;0.1;500;4;10;Scale-free;70;395;3847;692
4751;10;SAM;0.1;500;4;10;Scale-free;109;244;1841;570
4752;10;SAM;0.1;500;4;10;Scale-free;146;377;2438;800
4753;10;SAM;0.1;500;4;10;Scale-free;137;364;2232;519
4754;10;SAM;0.1;500;4;10;Scale-free;72;348;3676;826
4755;10;SAM;0.1;500;4;10;Scale-free;102;455;2691;730
4756;10;SAM;0.1;500;4;10;Scale-free;63;477;2286;779
4757;10;SAM;0.1;500;4;10;Scale-free;151;434;3256;591
4758;10;SAM;0.1;500;4;10;Scale-free;111;261;3553;942
4759;10;SAM;0.1;500;4;10;Scale-free;172;393;2896;852
4760;10;SAM;0.1;500;4;10;Scale-free;88;539;2691;873
4761;10;SAM;0.1;500;4;10;Scale-free;193;318;2591;1049
4762;10;SAM;0.1;500;4;10;Scale-free;130;409;2436;643
4763;10;SAM;0.1;500;4;10;Scale-free;147;282;2607;610
4764;10;SAM;0.1;500;4;10;Scale-free;104;181;2914;527
4765;10;SAM;0.1;500;4;10;Scale-free;68;477;4381;579
4766;10;SAM;0.1;500;4;10;Scale-free;75;298;2255;610
4767;10;SAM;0.1;500;4;10;Scale-free;108;299;1687;1009
4768;10;SAM;0.1;500;4;10;Scale-free;140;210;3525;693
4769;10;SAM;0.1;500;4;10;Scale-free;155;245;3763;663
4770;10;SAM;0.1;500;4;10;Scale-free;163;315;2842;1315
4771;10;SAM;0.1;500;4;10;Scale-free;73;128;2166;433
4772;10;SAM;0.1;500;4;10;Scale-free;144;135;3749;675
4773;10;SAM;0.1;500;4;10;Scale-free;84;427;2393;397
4774;10;SAM;0.1;500;4;10;Scale-free;172;322;3092;672
4775;10;SAM;0.1;500;4;10;Scale-free;205;490;2553;1195
4776;10;SAM;0.1;500;4;10;Scale-free;89;365;3344;657
4777;10;SAM;0.1;500;4;10;Scale-free;161;640;2826;702
4778;10;SAM;0.1;500;4;10;Scale-free;107;297;1772;1286
4779;10;SAM;0.1;500;4;10;Scale-free;85;400;3517;808
4780;10;SAM;0.1;500;4;10;Scale-free;98;391;2853;1092
4781;10;SAM;0.1;500;4;10;Scale-free;77;296;4076;727
4782;10;SAM;0.1;500;4;10;Scale-free;160;395;4271;581
4783;10;SAM;0.1;500;4;10;Scale-free;216;258;3048;615
4784;10;SAM;0.1;500;4;10;Scale-free;165;315;2669;502
4785;10;SAM;0.1;500;4;10;Scale-free;134;470;2150;384
4786;10;SAM;0.1;500;4;10;Scale-free;80;272;1680;594
4787;10;SAM;0.1;500;4;10;Scale-free;152;418;2682;639
4788;10;SAM;0.1;500;4;10;Scale-free;152;373;4415;937
4789;10;SAM;0.1;500;4;10;Scale-free;84;156;3336;904
4790;10;SAM;0.1;500;4;10;Scale-free;157;235;2182;939
4791;10;SAM;0.1;500;4;10;Scale-free;153;181;3126;584
4792;10;SAM;0.1;500;4;10;Scale-free;78;287;3131;602
4793;10;SAM;0.1;500;4;10;Scale-free;61;269;3705;955
4794;10;SAM;0.1;500;4;10;Scale-free;121;370;3903;932
4795;10;SAM;0.1;500;4;10;Scale-free;137;238;2794;630
4796;10;SAM;0.1;500;4;10;Scale-free;108;242;1623;1010
4797;10;SAM;0.1;500;4;10;Scale-free;131;129;2750;866
4798;10;SAM;0.1;500;4;10;Scale-free;146;326;3012;751
4799;10;SAM;0.1;500;4;10;Scale-free;119;279;2049;589
4800;10;SAM;0.1;500;4;10;Scale-free;109;697;3482;431
