"sampling_stratregy","agent_number","mean_delta","time_max","prop_biased"
"MAP",2,0.336683417085427,"200","0% biased agents"
"MAP",3,0.346733668341709,"200","0% biased agents"
"MAP",4,0.402010050251256,"200","0% biased agents"
"MAP",5,0.28643216080402,"200","0% biased agents"
"MAP",6,0.190954773869347,"200","0% biased agents"
"MAP",7,0.201005025125628,"200","0% biased agents"
"MAP",8,0.366834170854271,"200","0% biased agents"
"MAP",9,0.120603015075377,"200","0% biased agents"
"MAP",10,0.291457286432161,"200","0% biased agents"
"MAP",11,0.276381909547739,"200","0% biased agents"
"MAP",12,0.351758793969849,"200","0% biased agents"
"MAP",13,0.170854271356784,"200","0% biased agents"
"MAP",14,0.261306532663317,"200","0% biased agents"
"MAP",15,0.175879396984925,"200","0% biased agents"
"MAP",16,0.276381909547739,"200","0% biased agents"
"MAP",17,0.336683417085427,"200","0% biased agents"
"MAP",18,0.251256281407035,"200","0% biased agents"
"MAP",19,0.231155778894472,"200","0% biased agents"
"MAP",20,0.417085427135678,"200","0% biased agents"
"MAP",21,0.291457286432161,"200","0% biased agents"
"MAP",22,0.371859296482412,"200","0% biased agents"
"MAP",23,0.351758793969849,"200","0% biased agents"
"MAP",24,0.42713567839196,"200","0% biased agents"
"MAP",25,0.442211055276382,"200","0% biased agents"
"MAP",26,0.301507537688442,"200","0% biased agents"
"MAP",27,0.442211055276382,"200","0% biased agents"
"MAP",28,0.336683417085427,"200","0% biased agents"
"MAP",29,0.472361809045226,"200","0% biased agents"
"MAP",30,0.160804020100503,"200","0% biased agents"
"MAP",31,0.21105527638191,"200","0% biased agents"
"MAP",32,0.110552763819095,"200","0% biased agents"
"MAP",33,0.180904522613065,"200","0% biased agents"
"MAP",34,0.0703517587939698,"200","0% biased agents"
"MAP",35,0.271356783919598,"200","0% biased agents"
"MAP",36,0.206030150753769,"200","0% biased agents"
"MAP",37,0.49748743718593,"200","0% biased agents"
"MAP",38,0.276381909547739,"200","0% biased agents"
"MAP",39,0.160804020100503,"200","0% biased agents"
"MAP",40,0.21608040201005,"200","0% biased agents"
"MAP",41,0.251256281407035,"200","0% biased agents"
"MAP",42,0.422110552763819,"200","0% biased agents"
"MAP",43,0.125628140703518,"200","0% biased agents"
"MAP",44,0.190954773869347,"200","0% biased agents"
"MAP",45,0.150753768844221,"200","0% biased agents"
"MAP",46,0.4321608040201,"200","0% biased agents"
"MAP",47,0.447236180904523,"200","0% biased agents"
"MAP",48,0.417085427135678,"200","0% biased agents"
"MAP",49,0.512562814070352,"200","0% biased agents"
"MAP",50,0.201005025125628,"200","0% biased agents"
"MAP",51,0.231155778894472,"200","0% biased agents"
"MAP",52,0.391959798994975,"200","0% biased agents"
"MAP",53,0.351758793969849,"200","0% biased agents"
"MAP",54,0.512562814070352,"200","0% biased agents"
"MAP",55,0.376884422110553,"200","0% biased agents"
"MAP",56,0.21608040201005,"200","0% biased agents"
"MAP",57,0.296482412060302,"200","0% biased agents"
"MAP",58,0.437185929648241,"200","0% biased agents"
"MAP",59,0.150753768844221,"200","0% biased agents"
"MAP",60,0.201005025125628,"200","0% biased agents"
"MAP",61,0.437185929648241,"200","0% biased agents"
"MAP",62,0.321608040201005,"200","0% biased agents"
"MAP",63,0.241206030150754,"200","0% biased agents"
"MAP",64,0.170854271356784,"200","0% biased agents"
"MAP",65,0.281407035175879,"200","0% biased agents"
"MAP",66,0.14070351758794,"200","0% biased agents"
"MAP",67,0.452261306532663,"200","0% biased agents"
"MAP",68,0.14070351758794,"200","0% biased agents"
"MAP",69,0.256281407035176,"200","0% biased agents"
"MAP",70,0.14070351758794,"200","0% biased agents"
"MAP",71,0.391959798994975,"200","0% biased agents"
"MAP",72,0.221105527638191,"200","0% biased agents"
"MAP",73,0.311557788944724,"200","0% biased agents"
"MAP",74,0.221105527638191,"200","0% biased agents"
"MAP",75,0.201005025125628,"200","0% biased agents"
"MAP",76,0.14070351758794,"200","0% biased agents"
"MAP",77,0.21105527638191,"200","0% biased agents"
"MAP",78,0.160804020100503,"200","0% biased agents"
"MAP",79,0.175879396984925,"200","0% biased agents"
"MAP",80,0.100502512562814,"200","0% biased agents"
"MAP",81,0.14572864321608,"200","0% biased agents"
"MAP",82,0.120603015075377,"200","0% biased agents"
"MAP",83,0.0904522613065327,"200","0% biased agents"
"MAP",84,0.291457286432161,"200","0% biased agents"
"MAP",85,0.346733668341709,"200","0% biased agents"
"MAP",86,0.482412060301508,"200","0% biased agents"
"MAP",87,0.316582914572864,"200","0% biased agents"
"MAP",88,0.291457286432161,"200","0% biased agents"
"MAP",89,0.256281407035176,"200","0% biased agents"
"MAP",90,0.190954773869347,"200","0% biased agents"
"MAP",91,0.452261306532663,"200","0% biased agents"
"MAP",92,0.14070351758794,"200","0% biased agents"
"MAP",93,0.291457286432161,"200","0% biased agents"
"MAP",94,0.201005025125628,"200","0% biased agents"
"MAP",95,0.306532663316583,"200","0% biased agents"
"MAP",96,0.28643216080402,"200","0% biased agents"
"MAP",97,0.371859296482412,"200","0% biased agents"
"MAP",98,0.452261306532663,"200","0% biased agents"
"MAP",99,0.266331658291457,"200","0% biased agents"
"MAP",101,0.402010050251256,"200","0% biased agents"
"MAP",102,0.477386934673367,"200","0% biased agents"
"SAM",2,0.422110552763819,"200","0% biased agents"
"SAM",3,0.412060301507538,"200","0% biased agents"
"SAM",4,0.261306532663317,"200","0% biased agents"
"SAM",5,0.251256281407035,"200","0% biased agents"
"SAM",6,0.537688442211055,"200","0% biased agents"
"SAM",7,0.452261306532663,"200","0% biased agents"
"SAM",8,0.371859296482412,"200","0% biased agents"
"SAM",9,0.532663316582915,"200","0% biased agents"
"SAM",10,0.50251256281407,"200","0% biased agents"
