rep_id,learners,time,langval_all,prop_biased
1,SAM,50 iterations,0.725,0% biased agents
1,SAM,100 iterations,0.6967,0% biased agents
1,SAM,150 iterations,0.6957,0% biased agents
1,SAM,200 iterations,0.6967,0% biased agents
21,SAM,50 iterations,0.6767,0% biased agents
21,SAM,100 iterations,0.6686,0% biased agents
21,SAM,150 iterations,0.6686,0% biased agents
21,SAM,200 iterations,0.6637,0% biased agents
22,SAM,50 iterations,0.7003,0% biased agents
22,SAM,100 iterations,0.6839,0% biased agents
22,SAM,150 iterations,0.6834,0% biased agents
22,SAM,200 iterations,0.6878,0% biased agents
23,SAM,50 iterations,0.7498,0% biased agents
23,SAM,100 iterations,0.7488,0% biased agents
23,SAM,150 iterations,0.7473,0% biased agents
23,SAM,200 iterations,0.7499,0% biased agents
24,SAM,50 iterations,0.7021,0% biased agents
24,SAM,100 iterations,0.7006,0% biased agents
24,SAM,150 iterations,0.6966,0% biased agents
24,SAM,200 iterations,0.6975,0% biased agents
6,SAM,50 iterations,0.7771,0% biased agents
14,SAM,50 iterations,0.7235,0% biased agents
2,SAM,50 iterations,0.7503,0% biased agents
25,SAM,50 iterations,0.7126,0% biased agents
11,SAM,50 iterations,0.7033,0% biased agents
10,SAM,50 iterations,0.7527,0% biased agents
20,SAM,50 iterations,0.7282,0% biased agents
25,SAM,100 iterations,0.7044,0% biased agents
14,SAM,100 iterations,0.7158,0% biased agents
6,SAM,100 iterations,0.7731,0% biased agents
18,SAM,50 iterations,0.7508,0% biased agents
17,SAM,50 iterations,0.7199,0% biased agents
16,SAM,50 iterations,0.6913,0% biased agents
13,SAM,50 iterations,0.7481,0% biased agents
15,SAM,50 iterations,0.7211,0% biased agents
25,SAM,150 iterations,0.7006,0% biased agents
19,SAM,50 iterations,0.7709,0% biased agents
2,SAM,100 iterations,0.7497,0% biased agents
3,SAM,50 iterations,0.6786,0% biased agents
9,SAM,50 iterations,0.6962,0% biased agents
7,SAM,50 iterations,0.7094,0% biased agents
11,SAM,100 iterations,0.7158,0% biased agents
25,SAM,200 iterations,0.6956,0% biased agents
4,SAM,50 iterations,0.755,0% biased agents
12,SAM,50 iterations,0.7099,0% biased agents
14,SAM,150 iterations,0.7187,0% biased agents
10,SAM,100 iterations,0.742,0% biased agents
8,SAM,50 iterations,0.7353,0% biased agents
6,SAM,150 iterations,0.7654,0% biased agents
17,SAM,100 iterations,0.7167,0% biased agents
5,SAM,50 iterations,0.7465,0% biased agents
15,SAM,100 iterations,0.722,0% biased agents
20,SAM,100 iterations,0.7184,0% biased agents
18,SAM,100 iterations,0.7537,0% biased agents
13,SAM,100 iterations,0.7594,0% biased agents
26,SAM,50 iterations,0.7351,0% biased agents
16,SAM,100 iterations,0.7088,0% biased agents
11,SAM,150 iterations,0.7127,0% biased agents
2,SAM,150 iterations,0.7431,0% biased agents
17,SAM,150 iterations,0.7195,0% biased agents
10,SAM,150 iterations,0.7483,0% biased agents
6,SAM,200 iterations,0.7606,0% biased agents
15,SAM,150 iterations,0.7195,0% biased agents
26,SAM,100 iterations,0.732,0% biased agents
14,SAM,200 iterations,0.723,0% biased agents
3,SAM,100 iterations,0.6732,0% biased agents
18,SAM,150 iterations,0.7505,0% biased agents
7,SAM,100 iterations,0.7171,0% biased agents
20,SAM,150 iterations,0.7185,0% biased agents
5,SAM,100 iterations,0.7386,0% biased agents
4,SAM,100 iterations,0.7552,0% biased agents
12,SAM,100 iterations,0.7022,0% biased agents
9,SAM,100 iterations,0.6992,0% biased agents
13,SAM,150 iterations,0.7657,0% biased agents
11,SAM,200 iterations,0.7099,0% biased agents
26,SAM,150 iterations,0.7313,0% biased agents
8,SAM,100 iterations,0.751,0% biased agents
19,SAM,100 iterations,0.7624,0% biased agents
16,SAM,150 iterations,0.7113,0% biased agents
2,SAM,200 iterations,0.744,0% biased agents
10,SAM,200 iterations,0.746,0% biased agents
17,SAM,200 iterations,0.7198,0% biased agents
15,SAM,200 iterations,0.7138,0% biased agents
26,SAM,200 iterations,0.7279,0% biased agents
18,SAM,200 iterations,0.7485,0% biased agents
20,SAM,200 iterations,0.7208,0% biased agents
7,SAM,150 iterations,0.7105,0% biased agents
13,SAM,200 iterations,0.7694,0% biased agents
16,SAM,200 iterations,0.7089,0% biased agents
3,SAM,150 iterations,0.6749,0% biased agents
19,SAM,150 iterations,0.7602,0% biased agents
9,SAM,150 iterations,0.6954,0% biased agents
12,SAM,150 iterations,0.7003,0% biased agents
27,SAM,50 iterations,0.7417,0% biased agents
4,SAM,150 iterations,0.7533,0% biased agents
34,SAM,50 iterations,0.7387,0% biased agents
8,SAM,150 iterations,0.7587,0% biased agents
5,SAM,150 iterations,0.7422,0% biased agents
28,SAM,50 iterations,0.7426,0% biased agents
7,SAM,200 iterations,0.7145,0% biased agents
34,SAM,100 iterations,0.7327,0% biased agents
27,SAM,100 iterations,0.7357,0% biased agents
30,SAM,50 iterations,0.7118,0% biased agents
19,SAM,200 iterations,0.7577,0% biased agents
31,SAM,50 iterations,0.6732,0% biased agents
3,SAM,200 iterations,0.6745,0% biased agents
12,SAM,200 iterations,0.699,0% biased agents
33,SAM,50 iterations,0.721,0% biased agents
9,SAM,200 iterations,0.6885,0% biased agents
8,SAM,200 iterations,0.7591,0% biased agents
34,SAM,150 iterations,0.7318,0% biased agents
28,SAM,100 iterations,0.748,0% biased agents
4,SAM,200 iterations,0.7508,0% biased agents
5,SAM,200 iterations,0.7359,0% biased agents
29,SAM,50 iterations,0.7555,0% biased agents
35,SAM,50 iterations,0.7496,0% biased agents
32,SAM,50 iterations,0.7543,0% biased agents
34,SAM,200 iterations,0.7343,0% biased agents
37,SAM,50 iterations,0.7778,0% biased agents
27,SAM,150 iterations,0.7404,0% biased agents
38,SAM,50 iterations,0.7174,0% biased agents
30,SAM,100 iterations,0.7092,0% biased agents
36,SAM,50 iterations,0.7514,0% biased agents
31,SAM,100 iterations,0.6807,0% biased agents
33,SAM,100 iterations,0.7265,0% biased agents
28,SAM,150 iterations,0.7487,0% biased agents
29,SAM,100 iterations,0.7569,0% biased agents
39,SAM,50 iterations,0.711,0% biased agents
47,SAM,50 iterations,0.7765,0% biased agents
32,SAM,100 iterations,0.7417,0% biased agents
27,SAM,200 iterations,0.7401,0% biased agents
37,SAM,100 iterations,0.7787,0% biased agents
40,SAM,50 iterations,0.7349,0% biased agents
35,SAM,100 iterations,0.7345,0% biased agents
31,SAM,150 iterations,0.6832,0% biased agents
41,SAM,50 iterations,0.7757,0% biased agents
38,SAM,100 iterations,0.7099,0% biased agents
47,SAM,100 iterations,0.7772,0% biased agents
30,SAM,150 iterations,0.704,0% biased agents
36,SAM,100 iterations,0.7479,0% biased agents
43,SAM,50 iterations,0.7302,0% biased agents
28,SAM,200 iterations,0.749,0% biased agents
